epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,1.102863604281129,1.132355324074074,0.32527556242766203,0.07341223858109042,0.0006302006028107359,0.0009818113423167814,0.34811711411516205,0.09508271937986382,0.0,0.4372606956157364,206140.71389180672,1.0753900000528127,0.9457237660383978,0.3434327528211806,0.5067955186631945,0.45238905164930554,0.6090002893518518,0.04387973361545139,0.0006193387066876447,0.0009936208195156521,0.29464161060474536,0.048664098668981484,0.0,0.32527556242766203,199376.92444444445,1.2383575665509259,1.0133125361689814
2,4.9963273333986144e-05,1.1156368240588854,1.1614765986689815,0.27985100640190974,0.050938285261142156,0.0006097420105297791,0.0009557388831974798,0.29861906095713125,0.05156711210348025,0.0,0.34615115383092093,198480.23529411765,1.125983783176967,0.9894185792498228,0.3042665834780093,0.36310056333188656,0.45636167173032405,0.43515236183449074,0.037463390209056716,0.0005718985310307255,0.0008959477919119375,0.25292338053385416,0.03172544691297743,0.0,0.27985100640190974,196524.1837037037,1.3548811848958333,1.0574797453703704
3,4.937559161148094e-05,1.1487243030251575,1.1730451569733795,0.22488590946903936,0.03867654294213828,0.000567560875592675,0.0009221590291356527,0.2161764572648441,0.028726537062340424,0.0,0.254662025751186,198228.8176207983,1.303033599332601,1.0492432443033748,0.3482489013671875,0.2542589427806713,0.23560818142361112,0.4272190574363426,0.031122142650462963,0.0005291495499787507,0.0009131600238658764,0.17613595468026622,0.021676093207465278,0.0,0.22488590946903936,199832.8651851852,1.5354933449074073,1.0890451388888889
4,4.808747105966034e-05,1.1996143675651871,1.256116626880787,0.18313507080078126,0.03205112358476935,0.000503077616126613,0.000863808357624431,0.1685667383570631,0.020112578044919407,0.0,0.20935393857354878,199344.8756565126,1.5878631187086345,1.1171243521345764,0.27426667390046294,0.21138554325810185,0.21383391203703703,0.3422580295138889,0.025739768699363424,0.00047399534119500053,0.0008162547923900462,0.14762914586950232,0.017168313485604745,0.0,0.18313507080078126,196130.53629629628,1.7828399884259258,1.1845326967592593
5,4.613670130342732e-05,1.1947338120276187,1.1716769748263889,0.15929018373842593,0.029935385593596625,0.0004613071955454794,0.0007983516916894831,0.15005062507982014,0.016935658179411367,0.0,0.1946388768548725,199007.28413865546,1.6142980932187634,1.1192254789737093,0.18912394205729166,0.19714511447482638,0.21647273310908566,0.2836292408130787,0.022655775282118054,0.0004571551746792263,0.0008012172910902235,0.11230550130208333,0.01288074917263455,0.0,0.15929018373842593,198268.44444444444,1.6252003761574074,1.1093176721643518
6,4.3580512123997546e-05,1.164291842644956,1.1971864149305556,0.16897849754050925,0.02809927241579324,0.00045242399246795805,0.0008010404630067187,0.14008694236018077,0.015101975847442611,0.0,0.18089922786760732,198181.92528886555,1.5584652323682768,1.0925583258396436,0.22644635235821758,0.18588394730179397,0.2626566569010417,0.24776554814091437,0.02335025080928096,0.00045260005527072484,0.0008030176162719726,0.12900406448929397,0.014573327523690683,0.0,0.16897849754050925,196791.84592592594,1.7898079427083333,1.13185546875
7,4.049389450737396e-05,1.2169914325746167,1.2609271918402778,0.15756137424045139,0.025536584143503373,0.0004296681416678798,0.0007695123893717507,0.1252014346483375,0.013082810121924937,0.0,0.16642257878009012,198565.8904936975,1.7536553665369499,1.1511912295798294,0.20461893717447915,0.19056925455729168,0.22000298394097223,0.26996141221788195,0.021668514675564236,0.000431398903882062,0.0007806407963788067,0.12158785219545717,0.010307266800491897,0.0,0.15756137424045139,197150.38814814814,1.9800584129050927,1.1994505027488427
8,3.696740063191148e-05,1.217351513750413,1.2088071469907407,0.1351899097583912,0.024184142763749892,0.0004206754474121952,0.0007638086431792804,0.11223391625059753,0.011370190927962294,0.0,0.15326297921793802,199380.17844012604,1.8000563282926543,1.155298508515879,0.18592210557725694,0.1649407054759838,0.16680475305627893,0.22247386791087964,0.01938940542715567,0.0004138534157364457,0.0007614285857589156,0.08650302463107638,0.009181334177652994,0.0,0.1351899097583912,199842.37037037036,1.9892838541666666,1.1557496021412037
9,3.3104487336791805e-05,1.210596305983407,1.2364043511284721,0.12886916549117478,0.023667073072943867,0.00042358633231551646,0.0007764246581834467,0.10614943253893812,0.010395956765703795,0.0,0.14699325579054215,199798.5119485294,1.8125961548140068,1.149827507363648,0.17444819697627315,0.1573366970486111,0.16645722565827548,0.20009073893229168,0.018547549777560762,0.00040798187255859376,0.0007503283465350116,0.08070691144024884,0.008770404391818577,0.0,0.12886916549117478,198771.9585185185,2.016805736400463,1.1853517433449074
10,2.9018481006140187e-05,1.2161831214648335,1.2463504593460648,0.12914685284649885,0.021999268510824992,0.0004058770155250447,0.000753340739345945,0.09707798877684008,0.009658678646097664,0.0,0.13822063935153625,199453.14535189077,1.8663033767908561,1.159328304919876,0.17380270498770253,0.1474861201533565,0.16951890733506944,0.22803209092881943,0.018286760118272568,0.0003971150627842656,0.0007389740590695982,0.08363073278356481,0.00823752791793258,0.0,0.12914685284649885,200228.4088888889,2.010916521990741,1.1956633391203704
11,2.4829252910054948e-05,1.2157941505688579,1.234737594039352,0.12573667173032407,0.0208086169739606,0.0003835458694634364,0.0007200689957978032,0.08906108942352423,0.008427083554888973,0.0,0.12978069008398457,199704.6356355042,1.8928387706019298,1.1624490733908004,0.1792333984375,0.15184559009693288,0.1590866427951389,0.19289265950520834,0.017937048452871817,0.000391677838784677,0.0007331486101503726,0.08224488434968172,0.008483161926269531,0.0,0.12573667173032407,197607.20592592593,2.061312934027778,1.1848800094039351
12,2.065970253815318e-05,1.2341161565620358,1.251979709201389,0.11447845458984375,0.020225925425834516,0.0003875005698494785,0.0007322476318344756,0.08428144905747485,0.00805074189390455,0.0,0.12539626645440816,200737.4637605042,1.9987584472704334,1.181872987947544,0.14551737467447917,0.14342463740596065,0.14185845269097222,0.20324915002893518,0.016356964111328125,0.00038649249959875034,0.0007288282005875198,0.06996984411168981,0.007230710630063657,0.0,0.11447845458984375,201861.9022222222,2.0783056640625,1.2058026801215278
13,1.663215209416456e-05,1.2193181825285198,1.269411892361111,0.11292756257233796,0.019512187227794603,0.0003799809015281655,0.0007230487022110645,0.07995493321859536,0.0073568735803876606,0.0,0.12010445326817136,200447.95601365546,1.9936978496423288,1.168813706946974,0.14318433973524305,0.13972741021050347,0.1419019458912037,0.197279210973669,0.01623350355360243,0.00038058488457291215,0.0007205634646945529,0.0707468499077691,0.0069285781295211225,0.0,0.11292756257233796,200460.6577777778,2.090890480324074,1.2235371455439814
14,1.286475792637575e-05,1.2351992050138842,1.2490489366319444,0.10842271592881944,0.017912567280107688,0.00037514031979650605,0.0007205951605246504,0.06466132252156234,0.006426692415936654,0.0,0.10690541396371457,199623.67489495798,2.0632737784826456,1.1888304187470125,0.1383309710467303,0.13688629150390624,0.1372956904658565,0.1770113796657986,0.015510847303602431,0.00037464654004132304,0.0007136819980762623,0.0655957935474537,0.006658264442726418,0.0,0.10842271592881944,200587.35407407407,2.1406571903935183,1.2049663628472222
15,9.46804417188025e-06,1.2261618215496801,1.2661351634837963,0.10296771014178241,0.01722760057906393,0.0003613999263606496,0.0006960603049486687,0.06204837460477813,0.00603908281616804,0.0,0.10282168487290375,200612.37342436975,2.1276527072201254,1.18155696812798,0.13247836642795138,0.12811928077980325,0.12971080638744212,0.16597794144241898,0.014824148107458045,0.0003713867399427626,0.0007105196405340124,0.05997448956524884,0.0062589942084418405,0.0,0.10296771014178241,200823.5851851852,2.2193220124421296,1.2237454788773148
