# backfilled 2026-08-01 from mtime + log contents; job/name columns are
# best-effort for pre-existing logs. New rows are written by the sbatch scripts.
timestamp	job	log_or_name	config	output_dir
2026-07-22T07:06:05	-	train.log	-	-
2026-07-22T09:29:21	-	train_inflate.log	-	-
2026-07-23T07:19:12	-	train_inflate_resume.log	-	-
2026-07-26T14:46:05	-	train_inflate_resume2.log	-	outputs/vae_inflate4_resume2
2026-07-26T23:48:25	21547	vae_more_21547.log	-	outputs/vae_inflate4_more
2026-07-30T07:15:23	21618	vae_tail3x_21618.log	-	outputs/vae_inflate4_tail3x
2026-07-30T09:16:20	21619	vae_4gpu_21619.log	-	outputs/vae_randinit_4gpu
2026-07-30T13:23:13	21621	vae_4gpu_21621.log	-	outputs/vae_randinit_4gpu
2026-07-30T18:07:49	21623	vae_4gpu_21623.log	-	outputs/vae_meaninit_wsd15_4gpu
2026-07-31T00:29:11	21627	vae_4gpu_21627.log	-	outputs/vae_meaninit_wsd15_h1x2_4gpu
2026-07-31T18:22:31	21632	vae_2gpu_21632.log	-	outputs/vae_meaninit_wsd15_h1x2_lr1x_2gpu
2026-07-31T23:10:22	21642	vae_4gpu_21642.log	-	outputs/vae_meaninit_wsd15_h1x2_lr1x_mlw_4gpu
2026-08-01T13:04:38+02:00	21666	vae_2gpu	configs/finetune_vae/finetune_vae_baseline.yaml	finetune_vae_outputs_lundquist/finetune_vae_baseline
2026-08-01T13:06:55+02:00	21667	wh_debug	configs/finetune_vae/finetune_vae_overfit.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit
2026-08-01T15:27:00+02:00	21669	wh_debug	configs/finetune_vae/finetune_vae_overfit.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr5e5
2026-08-01T16:03:30+02:00	21677	wh_debug	configs/finetune_vae/finetune_vae_overfit.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr5e5
2026-08-02T07:59:25+02:00	21685	wh_debug	configs/finetune_vae/finetune_vae_overfit_lr5e5_wsd.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr5e5_wsd
2026-08-02T07:59:25+02:00	21684	wh_debug	configs/finetune_vae/finetune_vae_overfit_lr25e5.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr25e5
2026-08-02T08:00:53+02:00	21686	wh_debug	configs/finetune_vae/finetune_vae_overfit_lr25e5.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr25e5
2026-08-02T09:16:54+02:00	21687	wh_debug	configs/finetune_vae/finetune_vae_overfit_lr5e5_wsd_tail.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr5e5_wsd_tail
2026-08-02T11:04:22+02:00	21689	wh_finetune_vae_2gpu	configs/finetune_vae/finetune_vae_baseline_slowdecay.yaml	finetune_vae_outputs_lundquist/finetune_vae_baseline_slowdecay
2026-08-02T11:04:45+02:00	21690	wh_debug	configs/finetune_vae/finetune_vae_overfit_lr5e5_wsd_tail_slowdecay.yaml	finetune_vae_outputs_lundquist/finetune_vae_overfit_lr5e5_wsd_tail_slowdecay
2026-08-02T17:37:09+02:00	21692	wh_finetune_vae_2gpu	configs/finetune_vae/finetune_vae_baseline_tail.yaml	finetune_vae_outputs_lundquist/finetune_vae_baseline_tail
